counterbalance_2.started,counterbalance_2.stopped,participant,age,gender,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,information_2.started,information_2.stopped,information_loop.thisRepN,information_loop.thisTrialN,information_loop.thisN,information_loop.thisIndex,information_loop.ran,information,consent_2.started,consent_2.stopped,slider_1.response,slider_2.response,slider_3.response,slider_4.response,slider_5.response,slider_6.response,instructions.started,instructions.stopped,task1_instr.thisRepN,task1_instr.thisTrialN,task1_instr.thisN,task1_instr.thisIndex,task1_instr.ran,task1,comprehension1_2.started,comprehension1_2.stopped,comp1_mouse.x,comp1_mouse.y,comp1_mouse.leftButton,comp1_mouse.midButton,comp1_mouse.rightButton,comp1_mouse.time,comp1_mouse.clicked_name,task1_instr_again.thisRepN,task1_instr_again.thisTrialN,task1_instr_again.thisN,task1_instr_again.thisIndex,task1_instr_again.ran,comprehension1_4.started,comprehension1_4.stopped,comp1_mouse_2.x,comp1_mouse_2.y,comp1_mouse_2.leftButton,comp1_mouse_2.midButton,comp1_mouse_2.rightButton,comp1_mouse_2.time,comp1_mouse_2.clicked_name,comp1_loop.thisRepN,comp1_loop.thisTrialN,comp1_loop.thisN,comp1_loop.thisIndex,comp1_loop.ran,cue_o__trial_2.started,cue_o__trial_2.stopped,order,cue_order,out_order,cue_o_mouse.x,cue_o_mouse.y,cue_o_mouse.leftButton,cue_o_mouse.midButton,cue_o_mouse.rightButton,cue_o_mouse.time,cue_o_mouse.clicked_name,cue_selection_2.started,correct_answer,cue_selection_2.stopped,feedback_2.started,feedback_2.stopped,feedback_loop.thisRepN,feedback_loop.thisTrialN,feedback_loop.thisN,feedback_loop.thisIndex,feedback_loop.ran,stage1_trials.thisRepN,stage1_trials.thisTrialN,stage1_trials.thisN,stage1_trials.thisIndex,stage1_trials.ran,cue1,cue2,cue3,outcome,correct_out,o1_feedback,o2_feedback,stage2_feedback_loop.thisRepN,stage2_feedback_loop.thisTrialN,stage2_feedback_loop.thisN,stage2_feedback_loop.thisIndex,stage2_feedback_loop.ran,stage2_trials.thisRepN,stage2_trials.thisTrialN,stage2_trials.thisN,stage2_trials.thisIndex,stage2_trials.ran,stage3_feedback_loop.thisRepN,stage3_feedback_loop.thisTrialN,stage3_feedback_loop.thisN,stage3_feedback_loop.thisIndex,stage3_feedback_loop.ran,stage3_trials.thisRepN,stage3_trials.thisTrialN,stage3_trials.thisN,stage3_trials.thisIndex,stage3_trials.ran,debrief_2.started,debrief_2.stopped,debrief_loop.thisRepN,debrief_loop.thisTrialN,debrief_loop.thisN,debrief_loop.thisIndex,debrief_loop.ran,debrief_img,compr1_completed.thisRepN,compr1_completed.thisTrialN,compr1_completed.thisN,compr1_completed.thisIndex,compr1_completed.ran,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran
0.0006,0.0007,5eabf42cdcb6170008b06667,30,male,2024-04-24_11h31.48.090,stockport_simplified,2022.2.4,Win32,60.24096386,661e456ee6de07e70aa9ef7b,6628df8793ba6fae256ab492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eabf42cdcb6170008b06667,30,male,2024-04-24_11h31.48.090,stockport_simplified,2022.2.4,Win32,60.24096386,661e456ee6de07e70aa9ef7b,6628df8793ba6fae256ab492,0.0109,9.5755,0,0,0,0,1,instructions/info1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eabf42cdcb6170008b06667,30,male,2024-04-24_11h31.48.090,stockport_simplified,2022.2.4,Win32,60.24096386,661e456ee6de07e70aa9ef7b,6628df8793ba6fae256ab492,9.5758,24.1907,0,1,1,1,1,instructions/info2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eabf42cdcb6170008b06667,30,male,2024-04-24_11h31.48.090,stockport_simplified,2022.2.4,Win32,60.24096386,661e456ee6de07e70aa9ef7b,6628df8793ba6fae256ab492,24.1913,26.5884,0,2,2,2,1,instructions/info3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eabf42cdcb6170008b06667,30,male,2024-04-24_11h31.48.090,stockport_simplified,2022.2.4,Win32,60.24096386,661e456ee6de07e70aa9ef7b,6628df8793ba6fae256ab492,,,,,,,,,26.5887,42.2766,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eabf42cdcb6170008b06667,30,male,2024-04-24_11h31.48.090,stockport_simplified,2022.2.4,Win32,60.24096386,661e456ee6de07e70aa9ef7b,6628df8793ba6fae256ab492,,,,,,,,,,,,,,,,,42.281,172.6948,0,0,0,0,1,instructions/task1_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eabf42cdcb6170008b06667,30,male,2024-04-24_11h31.48.090,stockport_simplified,2022.2.4,Win32,60.24096386,661e456ee6de07e70aa9ef7b,6628df8793ba6fae256ab492,,,,,,,,,,,,,,,,,172.7007,183.1091,0,1,1,1,1,instructions/task1_2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eabf42cdcb6170008b06667,30,male,2024-04-24_11h31.48.090,stockport_simplified,2022.2.4,Win32,60.24096386,661e456ee6de07e70aa9ef7b,6628df8793ba6fae256ab492,,,,,,,,,,,,,,,,,183.1145,229.1585,0,2,2,2,1,instructions/task1_3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eabf42cdcb6170008b06667,30,male,2024-04-24_11h31.48.090,stockport_simplified,2022.2.4,Win32,60.24096386,661e456ee6de07e70aa9ef7b,6628df8793ba6fae256ab492,,,,,,,,,,,,,,,,,246.3985,248.5864,,,,,,instructions/task1_1.png,229.159,246.3888,-0.091499583,-0.256867135,1,0,0,17.2291,comp1_resp2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5eabf42cdcb6170008b06667,30,male,2024-04-24_11h31.48.090,stockport_simplified,2022.2.4,Win32,60.24096386,661e456ee6de07e70aa9ef7b,6628df8793ba6fae256ab492,,,,,,,,,,,,,,,,,248.587,249.419,,,,,,instructions/task1_2.png,,,,,,,,,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
