exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,403,1,4,4,0,1,[0 2 1 3],0,2.9105829000000085,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[2 1 0 3],0,2.1869574999982433,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[1 3 0 2],0,1.3603626000003715,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,1,0,0,[0 3 2 1],0,1.9370524999976624,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[3 2 0 1],0,2.114372399999411,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[0 1 3 2],1,1.6006157999981951,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[1 2 3 0],0,2.1422180000008666,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[2 1 0 3],0,3.382255799999257,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[2 3 1 0],0,2.517790199999581,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[0 1 2 3],1,3.025281999998697,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[3 2 0 1],1,2.0531876999993983,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[2 1 3 0],0,1.470407000000705,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[0 1 3 2],0,2.71081409999897,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,3,0,0,[1 3 2 0],0,4.733827599997312,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[2 1 0 3],0,5.883412099999987,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[2 3 1 0],1,5.055247899999813,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[2 3 1 0],1,2.8457288999998127,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[1 3 0 2],1,2.5379907000024104,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,2,0,1,[0 1 2 3],1,1.0381742999998096,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,4,4,0,1,[1 0 3 2],1,2.3835670000007667,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,2,1,0,0,[3 2 0 1],0,2.6713411000018823,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,2,0,0,[0 1 3 2],0,3.367665899997519,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[2 0 3 1],0,7.759795000001759,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,3,3,0,1,[0 2 1 3],1,1.4004218000009132,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,1,1,1,0,1,[1 2 0 3],0,4.278836499997851,29,Female,[2 3 1 0],[0 2 1 3]
