exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,out_response,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,205,1,4,4,0,1,[0 3 2 1],3,0,5.300448900001356,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,3,3,0,1,[0 1 3 2],3,1,3.397995399995125,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,1,1,0,1,[2 1 0 3],2,0,3.2674979000003077,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,1,1,0,1,[0 1 2 3],1,1,1.7012835999994422,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,4,4,0,1,[0 3 2 1],4,1,3.3506207000027644,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,4,4,0,1,[1 0 3 2],4,1,2.0614638999977615,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,3,3,0,1,[2 1 0 3],2,0,1.744015299998864,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,2,2,0,1,[3 2 1 0],2,1,6.321284400000877,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,1,1,0,1,[2 0 3 1],3,0,3.9286871000003885,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,2,2,0,1,[0 1 2 3],2,1,1.9612773999979254,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,1,1,0,1,[3 2 0 1],1,1,1.4552030999984709,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,3,3,0,1,[1 0 2 3],3,1,1.9881299999979092,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,1,1,0,1,[0 2 1 3],3,0,4.336796099996718,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,3,3,0,1,[2 1 3 0],3,1,1.321559399999387,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,4,4,0,1,[3 1 0 2],4,1,1.9141439000013634,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,1,1,0,1,[3 1 2 0],1,1,3.283271699998295,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,4,4,0,1,[2 1 3 0],4,1,1.3414599000025191,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,1,2,0,0,[3 2 1 0],1,0,1.9413410999986809,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,3,3,0,1,[2 3 0 1],3,1,1.5255191999967792,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,2,1,0,0,[3 0 2 1],3,0,3.6943152000021655,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,3,3,0,1,[2 0 3 1],3,1,3.5682836000050884,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,4,4,0,1,[3 1 0 2],4,1,0.982830400003877,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,4,4,0,1,[1 3 0 2],4,1,1.2693758999957936,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,2,2,0,1,[3 2 0 1],1,0,3.1515474999978323,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,1,2,0,0,[3 1 0 2],1,0,0.807692299997143,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,2,2,0,1,[0 1 3 2],2,1,2.676144300006854,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,3,3,0,1,[3 2 1 0],3,1,0.8609104999995907,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,3,4,0,0,[2 0 3 1],3,0,1.9622932999991463,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,4,3,0,0,[0 1 3 2],4,0,1.4573729999974603,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,3,4,0,0,[2 1 3 0],2,0,2.9738140999979805,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,2,2,0,1,[2 3 1 0],2,1,3.356139900002745,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,1,1,0,1,[3 1 2 0],1,1,1.7870772000023862,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,1,1,0,1,[3 0 2 1],1,1,1.7541916999980458,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,2,2,0,1,[2 1 3 0],4,0,1.2732792000024347,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,3,3,0,1,[1 2 3 0],3,1,1.7482558999981848,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,2,2,0,1,[1 0 3 2],1,0,1.5634835000018938,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,2,1,0,0,[3 0 1 2],2,0,4.5070974999980535,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,2,2,0,1,[1 2 0 3],1,0,1.6111384000032558,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,4,3,0,0,[0 1 3 2],4,0,2.5373505000025034,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,4,4,0,1,[3 0 1 2],4,1,2.536854099998891,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,2,2,0,1,[3 1 2 0],2,1,1.1531672999990406,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,2,2,0,1,[2 1 0 3],1,0,1.0642268000010517,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,3,3,0,1,[3 2 1 0],3,1,1.5557580000022426,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,1,1,0,1,[3 2 1 0],1,1,2.0830912000019453,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,1,1,0,1,[2 0 3 1],1,1,2.709062300004007,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,4,4,0,1,[0 1 2 3],3,0,6.351168699999107,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,4,4,0,1,[2 1 3 0],4,1,1.3418595000039204,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,1,1,0,1,[0 1 2 3],1,1,1.4368600999951013,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,4,4,0,1,[1 0 2 3],4,1,2.0177640999972937,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,2,2,0,1,[1 2 0 3],3,0,2.5178338999976404,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,2,2,0,1,[1 3 2 0],2,1,1.33572550000099,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,4,4,0,1,[0 1 2 3],4,1,3.6477631000016117,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,3,4,0,0,[3 1 0 2],3,0,1.346715799998492,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,4,4,0,1,[1 0 2 3],4,1,3.0502502000017557,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,4,4,0,1,[3 0 1 2],4,1,1.6544567000019015,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,2,2,0,1,[0 2 3 1],3,0,4.546352999997907,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,1,1,0,1,[0 3 2 1],1,1,1.1534715999951004,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,4,4,0,1,[3 1 2 0],4,1,2.096129399993515,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,1,1,0,1,[3 2 1 0],1,1,1.5458409999992,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,2,2,0,1,[2 1 0 3],2,1,1.801370200002566,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,4,4,0,1,[2 3 0 1],4,1,1.2629969999979949,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,3,3,0,1,[0 3 1 2],2,0,2.9062924000027124,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,3,4,0,0,[2 1 3 0],3,0,1.9466160999945714,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,3,3,0,1,[3 0 1 2],2,0,1.3068652000001748,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,3,3,0,1,[3 1 0 2],3,1,1.2516381000023102,21,Female,[0 1 2 3],[0 2 1 3]
UNW01,205,1,2,1,0,0,[2 0 1 3],2,0,7.9514755999989575,21,Female,[0 1 2 3],[0 2 1 3]
