exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,201,1,3,4,0,0,[1 3 2 0],0,5.8662323000025935,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,2,0,1,[0 2 1 3],1,1.8269681000019773,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[3 0 1 2],0,1.202987699994992,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[0 1 3 2],1,1.6715207999950508,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[1 3 2 0],0,2.1084201999983634,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,1,0,1,[3 2 1 0],1,2.2988403999988805,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,2,0,1,[2 1 0 3],1,4.143087999997078,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[1 3 2 0],1,1.0147956000000704,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[2 1 0 3],1,1.2516242999990936,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,3,0,0,[1 3 2 0],0,2.388811500000884,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[0 2 3 1],0,1.1726105000052485,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[3 1 2 0],1,1.5644195000058971,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,1,0,1,[1 0 2 3],1,2.2366488999978174,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,2,0,1,[2 1 0 3],1,0.7343579000007594,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,1,0,1,[1 2 0 3],1,1.5338190000038594,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[3 2 0 1],0,1.6455683000021963,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,2,0,0,[1 3 2 0],0,1.858972800000629,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,1,0,1,[0 3 2 1],0,1.4290964999963762,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[0 1 2 3],0,2.069351199999801,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[0 2 1 3],1,0.9728079999986221,21,Female,[1 3 0 2],[3 1 2 0]
