exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,out_response,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,406,1,2,2,0,1,[3 0 2 1],1,0,2.7116183999969508,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,1,2,0,0,[1 2 3 0],4,0,2.9536815000028582,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,4,4,0,1,[2 0 1 3],2,0,2.9211811999994097,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,2,2,0,1,[1 2 0 3],2,1,1.658508200001961,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,3,3,0,1,[2 1 3 0],3,1,1.6146978000033414,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,3,3,0,1,[0 2 3 1],3,1,1.2513050999987172,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,1,1,0,1,[2 3 1 0],2,0,2.0322987000035937,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,3,3,0,1,[1 3 0 2],4,0,5.075926999998046,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,3,4,0,0,[0 3 2 1],3,0,1.3517400000055204,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,4,4,0,1,[3 1 2 0],2,0,4.214059999998426,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,4,4,0,1,[1 0 3 2],4,1,2.8434390999973402,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,2,2,0,1,[0 3 2 1],2,1,1.6954535999975633,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,2,2,0,1,[1 0 2 3],2,1,6.290558699998655,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,4,4,0,1,[2 1 0 3],3,0,8.17311840000184,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,3,3,0,1,[0 3 2 1],3,1,4.93290849999903,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,3,3,0,1,[1 2 0 3],1,0,4.644412399997236,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,1,1,0,1,[1 2 3 0],1,1,3.4411842000045,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,3,3,0,1,[3 2 1 0],3,1,5.254193000000669,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,4,3,0,0,[2 3 1 0],4,0,5.674407400001655,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,4,3,0,0,[1 0 2 3],4,0,1.8115846000000602,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,4,4,0,1,[1 3 0 2],3,0,1.7311379999955534,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,1,1,0,1,[1 2 0 3],1,1,1.4032439000002341,21,Male,[3 2 1 0],[3 0 2 1]
UNW01,406,1,2,2,0,1,[2 1 0 3],2,1,2.472746899999038,21,Male,[3 2 1 0],[3 0 2 1]
