exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,out_response,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,999,1,4,4,1,1,[3 1 2 0],2,0,0.9507435000014084,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,1,1,1,1,[1 3 0 2],1,1,1.9873297000012826,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,3,3,1,1,[0 3 2 1],3,1,1.447071299997333,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,2,2,1,1,[0 1 2 3],2,1,1.6800461000020732,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,4,4,1,1,[2 3 1 0],3,0,2.8556785000000673,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,2,2,1,1,[1 2 3 0],3,0,1.1913043999993533,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,1,1,1,1,[2 3 0 1],1,1,2.026542999999947,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,4,4,1,1,[3 1 2 0],4,1,1.8433648999998695,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,4,4,1,1,[1 3 0 2],4,1,1.3165433999965899,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,1,1,1,1,[1 2 0 3],1,1,1.0332129999987956,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,3,3,1,1,[1 2 3 0],3,1,1.3148067000001902,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,3,3,1,1,[1 2 3 0],2,0,1.2409360999990895,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,2,2,1,1,[1 2 3 0],3,0,1.6093508999983897,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,1,1,1,1,[3 0 2 1],3,0,0.5158149000017147,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,1,1,1,1,[0 2 1 3],4,0,0.6499839999996766,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,3,3,1,1,[0 1 3 2],1,0,0.7305512999992061,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,3,3,1,1,[0 3 2 1],4,0,0.37658210000154213,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,2,2,1,1,[0 3 1 2],2,1,0.350126099998306,55,NA,[3 1 0 2],[0 2 1 3]
UNW01,999,1,2,2,1,1,[1 3 2 0],1,0,0.33067790000131936,55,NA,[3 1 0 2],[0 2 1 3]
